contract_version,dataset_id,source_system,source_record_id,account_code,counterparty_reference,document_reference,posting_date,reporting_period_start,reporting_period_end,currency,debit_amount,credit_amount,tax_amount
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000020,EXP.5000,SUP-010,INV-202607-000020,2026-07-18,2026-07-01,2026-08-01,SGD,2836.87,0.00,234.23
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000021,EXP.5000,SUP-001,INV-202607-000021,2026-07-16,2026-07-01,2026-08-01,SGD,1080.73,0.00,89.23
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000022,EXP.5000,SUP-002,INV-202607-000022,2026-07-05,2026-07-01,2026-08-01,SGD,3438.25,0.00,283.89
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000023,EXP.5000,SUP-003,INV-202607-000023,2026-07-10,2026-07-01,2026-08-01,SGD,1347.83,0.00,111.30
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000024,EXP.5000,SUP-004,INV-202607-000024,2026-07-02,2026-07-01,2026-08-01,SGD,1242.42,0.00,102.59
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000025,EXP.5000,SUP-005,INV-202607-000025,2026-07-22,2026-07-01,2026-08-01,SGD,1232.46,0.00,101.76
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000026,EXP.5000,SUP-006,INV-202607-000026,2026-07-09,2026-07-01,2026-08-01,SGD,2600.42,0.00,214.71
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000027,EXP.5000,SUP-007,INV-202607-000027,2026-07-11,2026-07-01,2026-08-01,SGD,2228.84,0.00,184.03
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000028,EXP.5000,SUP-008,INV-202607-000028,2026-07-15,2026-07-01,2026-08-01,SGD,1265.15,0.00,104.47
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000029,EXP.5000,SUP-009,INV-202607-000029,2026-07-10,2026-07-01,2026-08-01,SGD,2154.39,0.00,177.88
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000030,EXP.5000,SUP-010,INV-202607-000030,2026-07-07,2026-07-01,2026-08-01,SGD,160.10,0.00,13.22
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000031,EXP.5000,SUP-001,INV-202607-000031,2026-07-26,2026-07-01,2026-08-01,SGD,2468.80,0.00,203.85
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000032,EXP.5000,SUP-002,INV-202607-000032,2026-07-28,2026-07-01,2026-08-01,SGD,959.05,0.00,79.19
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000033,EXP.5000,SUP-003,INV-202607-000033,2026-07-15,2026-07-01,2026-08-01,SGD,1294.92,0.00,106.92
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000034,EXP.5000,SUP-004,INV-202607-000034,2026-07-07,2026-07-01,2026-08-01,SGD,1905.42,0.00,157.32
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000035,EXP.5000,SUP-005,INV-202607-000035,2026-07-15,2026-07-01,2026-08-01,SGD,3743.97,0.00,309.13
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000036,EXP.5000,SUP-006,INV-202607-000036,2026-07-21,2026-07-01,2026-08-01,SGD,1339.45,0.00,110.59
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000037,EXP.5000,SUP-007,INV-202607-000037,2026-07-05,2026-07-01,2026-08-01,SGD,747.11,0.00,61.69
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000038,EXP.5000,SUP-008,INV-202607-000038,2026-07-19,2026-07-01,2026-08-01,SGD,2839.51,0.00,234.45
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000039,EXP.5000,SUP-009,INV-202607-000039,2026-07-17,2026-07-01,2026-08-01,SGD,3444.74,0.00,284.43
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000040,EXP.5000,SUP-010,INV-202607-000040,2026-07-15,2026-07-01,2026-08-01,SGD,1388.44,0.00,114.64
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000041,EXP.5000,SUP-001,INV-202607-000041,2026-07-09,2026-07-01,2026-08-01,SGD,347.70,0.00,28.71
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000042,EXP.5000,SUP-002,INV-202607-000042,2026-07-09,2026-07-01,2026-08-01,SGD,2047.94,0.00,169.10
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000043,EXP.5000,SUP-003,INV-202607-000043,2026-07-09,2026-07-01,2026-08-01,SGD,1629.27,0.00,134.53
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000044,EXP.5000,SUP-004,INV-202607-000044,2026-07-05,2026-07-01,2026-08-01,SGD,426.62,0.00,35.22
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000045,EXP.5000,SUP-005,INV-202607-000045,2026-07-16,2026-07-01,2026-08-01,SGD,447.89,0.00,36.98
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000046,EXP.5000,SUP-006,INV-202607-000046,2026-07-13,2026-07-01,2026-08-01,SGD,473.49,0.00,39.10
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000047,EXP.5000,SUP-007,INV-202607-000047,2026-07-12,2026-07-01,2026-08-01,SGD,869.98,0.00,71.84
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000048,EXP.5000,SUP-008,INV-202607-000048,2026-07-13,2026-07-01,2026-08-01,SGD,3817.02,0.00,315.17
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000049,EXP.5000,SUP-009,INV-202607-000049,2026-07-16,2026-07-01,2026-08-01,SGD,686.80,0.00,56.71
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000050,EXP.5000,SUP-010,INV-202607-000050,2026-07-05,2026-07-01,2026-08-01,SGD,3276.72,0.00,270.56
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000051,EXP.5000,SUP-001,INV-202607-000051,2026-07-04,2026-07-01,2026-08-01,SGD,529.12,0.00,43.69
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000052,EXP.5000,SUP-002,INV-202607-000052,2026-07-15,2026-07-01,2026-08-01,SGD,2677.44,0.00,221.08
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000053,EXP.5000,SUP-003,INV-202607-000053,2026-07-27,2026-07-01,2026-08-01,SGD,3614.57,0.00,298.45
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000054,EXP.5000,SUP-004,INV-202607-000054,2026-07-19,2026-07-01,2026-08-01,SGD,241.22,0.00,19.92
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000055,EXP.5000,SUP-005,INV-202607-000055,2026-07-21,2026-07-01,2026-08-01,SGD,99.74,0.00,8.24
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000056,EXP.5000,SUP-006,INV-202607-000056,2026-07-17,2026-07-01,2026-08-01,SGD,551.15,0.00,45.51
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000057,EXP.5000,SUP-007,INV-202607-000057,2026-07-22,2026-07-01,2026-08-01,SGD,1879.16,0.00,155.16
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000058,EXP.5000,SUP-008,INV-202607-000058,2026-07-16,2026-07-01,2026-08-01,SGD,1459.03,0.00,120.47
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000059,EXP.5000,SUP-009,INV-202607-000059,2026-07-11,2026-07-01,2026-08-01,SGD,1754.90,0.00,144.90
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000060,EXP.5000,SUP-010,INV-202607-000060,2026-07-04,2026-07-01,2026-08-01,SGD,1056.02,0.00,87.19
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000061,EXP.5000,SUP-001,INV-202607-000061,2026-07-16,2026-07-01,2026-08-01,SGD,2290.35,0.00,189.10
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000062,EXP.5000,SUP-002,INV-202607-000062,2026-07-15,2026-07-01,2026-08-01,SGD,304.02,0.00,25.10
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000063,EXP.5000,SUP-003,INV-202607-000063,2026-07-22,2026-07-01,2026-08-01,SGD,200.58,0.00,16.56
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000064,EXP.5000,SUP-004,INV-202607-000064,2026-07-21,2026-07-01,2026-08-01,SGD,1110.59,0.00,91.70
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000065,EXP.5000,SUP-005,INV-202607-000065,2026-07-08,2026-07-01,2026-08-01,SGD,2338.30,0.00,193.07
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000066,EXP.5000,SUP-006,INV-202607-000066,2026-07-09,2026-07-01,2026-08-01,SGD,1122.07,0.00,92.65
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000067,EXP.5000,SUP-007,INV-202607-000067,2026-07-10,2026-07-01,2026-08-01,SGD,2263.45,0.00,186.89
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000068,EXP.5000,SUP-008,INV-202607-000068,2026-07-28,2026-07-01,2026-08-01,SGD,1954.61,0.00,161.39
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000069,EXP.5000,SUP-009,INV-202607-000069,2026-07-20,2026-07-01,2026-08-01,SGD,413.62,0.00,34.15
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000070,EXP.5000,SUP-010,INV-202607-000070,2026-07-25,2026-07-01,2026-08-01,SGD,346.89,0.00,28.64
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000071,EXP.5000,SUP-001,INV-202607-000071,2026-07-31,2026-07-01,2026-08-01,SGD,667.97,0.00,55.15
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000072,EXP.5000,SUP-002,INV-202607-000072,2026-07-19,2026-07-01,2026-08-01,SGD,1898.56,0.00,156.76
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000073,EXP.5000,SUP-003,INV-202607-000073,2026-07-26,2026-07-01,2026-08-01,SGD,5250.46,0.00,433.53
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000074,EXP.5000,SUP-004,INV-202607-000074,2026-07-28,2026-07-01,2026-08-01,SGD,672.79,0.00,55.55
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000075,EXP.5000,SUP-005,INV-202607-000075,2026-07-11,2026-07-01,2026-08-01,SGD,2164.32,0.00,178.70
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000076,EXP.5000,SUP-006,INV-202607-000076,2026-07-06,2026-07-01,2026-08-01,SGD,34.00,0.00,2.81
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000077,EXP.5000,SUP-007,INV-202607-000077,2026-07-09,2026-07-01,2026-08-01,SGD,2145.56,0.00,177.16
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000078,EXP.5000,SUP-008,INV-202607-000078,2026-07-13,2026-07-01,2026-08-01,SGD,837.61,0.00,69.16
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000079,EXP.5000,SUP-009,INV-202607-000079,2026-07-22,2026-07-01,2026-08-01,SGD,1258.58,0.00,103.92
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000080,EXP.5000,SUP-010,INV-202607-000080,2026-07-22,2026-07-01,2026-08-01,SGD,556.67,0.00,45.97
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000081,EXP.5000,SUP-001,INV-202607-000081,2026-07-30,2026-07-01,2026-08-01,SGD,1667.47,0.00,137.68
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000082,EXP.5000,SUP-002,INV-202607-000082,2026-07-29,2026-07-01,2026-08-01,SGD,129.32,0.00,10.68
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000083,EXP.5000,SUP-003,INV-202607-000083,2026-07-16,2026-07-01,2026-08-01,SGD,1238.19,0.00,102.24
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000084,EXP.5000,SUP-004,INV-202607-000084,2026-07-22,2026-07-01,2026-08-01,SGD,1328.70,0.00,109.71
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000085,EXP.5000,SUP-005,INV-202607-000085,2026-07-22,2026-07-01,2026-08-01,SGD,609.43,0.00,50.32
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000086,EXP.5000,SUP-006,INV-202607-000086,2026-07-19,2026-07-01,2026-08-01,SGD,2087.59,0.00,172.37
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000087,EXP.5000,SUP-007,INV-202607-000087,2026-07-15,2026-07-01,2026-08-01,SGD,1582.91,0.00,130.70
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000088,EXP.5000,SUP-008,INV-202607-000088,2026-07-22,2026-07-01,2026-08-01,SGD,1109.91,0.00,91.65
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000089,EXP.5000,SUP-009,INV-202607-000089,2026-07-30,2026-07-01,2026-08-01,SGD,1347.04,0.00,111.23
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000090,EXP.5000,SUP-010,INV-202607-000090,2026-07-04,2026-07-01,2026-08-01,SGD,1600.34,0.00,132.13
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000091,EXP.5000,SUP-001,INV-202607-000091,2026-07-10,2026-07-01,2026-08-01,SGD,3662.49,0.00,302.41
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000092,EXP.5000,SUP-002,INV-202607-000092,2026-07-10,2026-07-01,2026-08-01,SGD,249.54,0.00,20.60
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000093,EXP.5000,SUP-003,INV-202607-000093,2026-07-13,2026-07-01,2026-08-01,SGD,4092.34,0.00,337.90
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000094,EXP.5000,SUP-004,INV-202607-000094,2026-07-16,2026-07-01,2026-08-01,SGD,528.48,0.00,43.64
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000095,EXP.5000,SUP-005,INV-202607-000095,2026-07-16,2026-07-01,2026-08-01,SGD,1494.28,0.00,123.38
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000096,EXP.5000,SUP-006,INV-202607-000096,2026-07-10,2026-07-01,2026-08-01,SGD,2821.15,0.00,232.94
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000097,EXP.5000,SUP-007,INV-202607-000097,2026-07-29,2026-07-01,2026-08-01,SGD,1905.21,0.00,157.31
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000098,EXP.5000,SUP-008,INV-202607-000098,2026-07-26,2026-07-01,2026-08-01,SGD,125.09,0.00,10.33
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000099,EXP.5000,SUP-009,INV-202607-000099,2026-07-09,2026-07-01,2026-08-01,SGD,1784.80,0.00,147.37
1.0,smoke-v1-seed-20260731,LEDGER_ONE,ledger-000100,EXP.5000,SUP-010,INV-202607-000100,2026-07-27,2026-07-01,2026-08-01,SGD,2865.43,0.00,236.59
