contract_version,dataset_id,source_system,source_record_id,supplier_code,document_number,document_type,issue_date,posting_date,reporting_period_start,reporting_period_end,currency,declared_net,declared_tax,declared_gross,line_number,description,item_code,quantity,unit_price,net_amount,tax_category,tax_rate,tax_amount,gross_amount,line_currency
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000007,SUP-007,INV-202607-000007,INVOICE,2026-07-10,2026-07-12,2026-07-01,2026-08-01,SGD,2693.25,242.39,2935.64,1,"Synthetic service, invoice 000007 line 01",ITEM-001,1.0000,257.58,257.58,STANDARD_RATED,0.0900,23.18,280.76,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000007,SUP-007,INV-202607-000007,INVOICE,2026-07-10,2026-07-12,2026-07-01,2026-08-01,SGD,2693.25,242.39,2935.64,2,"Synthetic service, invoice 000007 line 02",ITEM-002,5.0000,326.07,1630.35,STANDARD_RATED,0.0900,146.73,1777.08,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000007,SUP-007,INV-202607-000007,INVOICE,2026-07-10,2026-07-12,2026-07-01,2026-08-01,SGD,2693.25,242.39,2935.64,3,"Synthetic service, invoice 000007 line 03",ITEM-003,2.0000,402.66,805.32,STANDARD_RATED,0.0900,72.48,877.80,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000008,SUP-008,INV-202607-000008,INVOICE,2026-07-16,2026-07-17,2026-07-01,2026-08-01,SGD,1229.28,110.64,1339.92,1,"Synthetic service, invoice 000008 line 01",ITEM-001,3.0000,409.76,1229.28,STANDARD_RATED,0.0900,110.64,1339.92,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000009,SUP-009,INV-202607-000009,INVOICE,2026-07-07,2026-07-09,2026-07-01,2026-08-01,SGD,1394.21,125.48,1519.69,1,"Synthetic service, invoice 000009 line 01",ITEM-001,1.0000,473.25,473.25,STANDARD_RATED,0.0900,42.59,515.84,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000009,SUP-009,INV-202607-000009,INVOICE,2026-07-07,2026-07-09,2026-07-01,2026-08-01,SGD,1394.21,125.48,1519.69,2,"Synthetic service, invoice 000009 line 02",ITEM-002,2.0000,460.48,920.96,STANDARD_RATED,0.0900,82.89,1003.85,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000010,SUP-010,INV-202607-000010,INVOICE,2026-07-15,2026-07-17,2026-07-01,2026-08-01,SGD,1015.51,91.39,1106.90,1,"Synthetic service, invoice 000010 line 01",ITEM-001,1.0000,363.94,363.94,STANDARD_RATED,0.0900,32.75,396.69,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000010,SUP-010,INV-202607-000010,INVOICE,2026-07-15,2026-07-17,2026-07-01,2026-08-01,SGD,1015.51,91.39,1106.90,2,"Synthetic service, invoice 000010 line 02",ITEM-002,3.0000,98.94,296.82,STANDARD_RATED,0.0900,26.71,323.53,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000010,SUP-010,INV-202607-000010,INVOICE,2026-07-15,2026-07-17,2026-07-01,2026-08-01,SGD,1015.51,91.39,1106.90,3,"Synthetic service, invoice 000010 line 03",ITEM-003,3.0000,118.25,354.75,STANDARD_RATED,0.0900,31.93,386.68,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000011,SUP-001,INV-202607-000011,INVOICE,2026-07-10,2026-07-12,2026-07-01,2026-08-01,SGD,368.26,33.14,401.40,1,"Synthetic service, invoice 000011 line 01",ITEM-001,1.0000,368.26,368.26,STANDARD_RATED,0.0900,33.14,401.40,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000012,SUP-002,INV-202607-000012,INVOICE,2026-07-08,2026-07-09,2026-07-01,2026-08-01,SGD,548.70,49.38,598.08,1,"Synthetic service, invoice 000012 line 01",ITEM-001,2.0000,274.35,548.70,STANDARD_RATED,0.0900,49.38,598.08,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000013,SUP-003,INV-202607-000013,INVOICE,2026-07-17,2026-07-19,2026-07-01,2026-08-01,SGD,1464.12,131.77,1595.89,1,"Synthetic service, invoice 000013 line 01",ITEM-001,3.0000,328.62,985.86,STANDARD_RATED,0.0900,88.73,1074.59,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000013,SUP-003,INV-202607-000013,INVOICE,2026-07-17,2026-07-19,2026-07-01,2026-08-01,SGD,1464.12,131.77,1595.89,2,"Synthetic service, invoice 000013 line 02",ITEM-002,4.0000,39.58,158.32,STANDARD_RATED,0.0900,14.25,172.57,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000013,SUP-003,INV-202607-000013,INVOICE,2026-07-17,2026-07-19,2026-07-01,2026-08-01,SGD,1464.12,131.77,1595.89,3,"Synthetic service, invoice 000013 line 03",ITEM-003,1.0000,319.94,319.94,STANDARD_RATED,0.0900,28.79,348.73,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000014,SUP-004,INV-202607-000014,INVOICE,2026-07-06,2026-07-07,2026-07-01,2026-08-01,SGD,2417.55,217.58,2635.13,1,"Synthetic service, invoice 000014 line 01",ITEM-001,5.0000,410.31,2051.55,STANDARD_RATED,0.0900,184.64,2236.19,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000014,SUP-004,INV-202607-000014,INVOICE,2026-07-06,2026-07-07,2026-07-01,2026-08-01,SGD,2417.55,217.58,2635.13,2,"Synthetic service, invoice 000014 line 02",ITEM-002,2.0000,183.00,366.00,STANDARD_RATED,0.0900,32.94,398.94,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000015,SUP-005,INV-202607-000015,INVOICE,2026-07-16,2026-07-17,2026-07-01,2026-08-01,SGD,1183.80,106.54,1290.34,1,"Synthetic service, invoice 000015 line 01",ITEM-001,5.0000,144.09,720.45,STANDARD_RATED,0.0900,64.84,785.29,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000015,SUP-005,INV-202607-000015,INVOICE,2026-07-16,2026-07-17,2026-07-01,2026-08-01,SGD,1183.80,106.54,1290.34,2,"Synthetic service, invoice 000015 line 02",ITEM-002,3.0000,154.45,463.35,STANDARD_RATED,0.0900,41.70,505.05,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000016,SUP-006,INV-202607-000016,INVOICE,2026-07-10,2026-07-12,2026-07-01,2026-08-01,SGD,1279.34,115.14,1394.48,1,"Synthetic service, invoice 000016 line 01",ITEM-001,5.0000,51.47,257.35,STANDARD_RATED,0.0900,23.16,280.51,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000016,SUP-006,INV-202607-000016,INVOICE,2026-07-10,2026-07-12,2026-07-01,2026-08-01,SGD,1279.34,115.14,1394.48,2,"Synthetic service, invoice 000016 line 02",ITEM-002,2.0000,276.12,552.24,STANDARD_RATED,0.0900,49.70,601.94,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000016,SUP-006,INV-202607-000016,INVOICE,2026-07-10,2026-07-12,2026-07-01,2026-08-01,SGD,1279.34,115.14,1394.48,3,"Synthetic service, invoice 000016 line 03",ITEM-003,5.0000,93.95,469.75,STANDARD_RATED,0.0900,42.28,512.03,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000017,SUP-007,INV-202607-000017,INVOICE,2026-07-20,2026-07-21,2026-07-01,2026-08-01,SGD,269.88,24.29,294.17,1,"Synthetic service, invoice 000017 line 01",ITEM-001,2.0000,134.94,269.88,STANDARD_RATED,0.0900,24.29,294.17,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000018,SUP-008,INV-202607-000018,INVOICE,2026-07-22,2026-07-22,2026-07-01,2026-08-01,SGD,1210.35,108.94,1319.29,1,"Synthetic service, invoice 000018 line 01",ITEM-001,1.0000,198.30,198.30,STANDARD_RATED,0.0900,17.85,216.15,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000018,SUP-008,INV-202607-000018,INVOICE,2026-07-22,2026-07-22,2026-07-01,2026-08-01,SGD,1210.35,108.94,1319.29,2,"Synthetic service, invoice 000018 line 02",ITEM-002,3.0000,234.54,703.62,STANDARD_RATED,0.0900,63.33,766.95,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000018,SUP-008,INV-202607-000018,INVOICE,2026-07-22,2026-07-22,2026-07-01,2026-08-01,SGD,1210.35,108.94,1319.29,3,"Synthetic service, invoice 000018 line 03",ITEM-003,1.0000,308.43,308.43,STANDARD_RATED,0.0900,27.76,336.19,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000019,SUP-009,INV-202607-000019,INVOICE,2026-07-14,2026-07-15,2026-07-01,2026-08-01,SGD,1071.16,96.40,1167.56,1,"Synthetic service, invoice 000019 line 01",ITEM-001,2.0000,210.63,421.26,STANDARD_RATED,0.0900,37.91,459.17,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000019,SUP-009,INV-202607-000019,INVOICE,2026-07-14,2026-07-15,2026-07-01,2026-08-01,SGD,1071.16,96.40,1167.56,2,"Synthetic service, invoice 000019 line 02",ITEM-002,5.0000,129.98,649.90,STANDARD_RATED,0.0900,58.49,708.39,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000020,SUP-010,INV-202607-000020,INVOICE,2026-07-16,2026-07-18,2026-07-01,2026-08-01,SGD,2602.64,234.23,2836.87,1,"Synthetic service, invoice 000020 line 01",ITEM-001,2.0000,190.68,381.36,STANDARD_RATED,0.0900,34.32,415.68,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000020,SUP-010,INV-202607-000020,INVOICE,2026-07-16,2026-07-18,2026-07-01,2026-08-01,SGD,2602.64,234.23,2836.87,2,"Synthetic service, invoice 000020 line 02",ITEM-002,4.0000,399.37,1597.48,STANDARD_RATED,0.0900,143.77,1741.25,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000020,SUP-010,INV-202607-000020,INVOICE,2026-07-16,2026-07-18,2026-07-01,2026-08-01,SGD,2602.64,234.23,2836.87,3,"Synthetic service, invoice 000020 line 03",ITEM-003,4.0000,155.95,623.80,STANDARD_RATED,0.0900,56.14,679.94,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000021,SUP-001,INV-202607-000021,INVOICE,2026-07-14,2026-07-16,2026-07-01,2026-08-01,SGD,991.50,89.23,1080.73,1,"Synthetic service, invoice 000021 line 01",ITEM-001,2.0000,246.35,492.70,STANDARD_RATED,0.0900,44.34,537.04,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000021,SUP-001,INV-202607-000021,INVOICE,2026-07-14,2026-07-16,2026-07-01,2026-08-01,SGD,991.50,89.23,1080.73,2,"Synthetic service, invoice 000021 line 02",ITEM-002,4.0000,124.70,498.80,STANDARD_RATED,0.0900,44.89,543.69,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000022,SUP-002,INV-202607-000022,INVOICE,2026-07-04,2026-07-05,2026-07-01,2026-08-01,SGD,3154.36,283.89,3438.25,1,"Synthetic service, invoice 000022 line 01",ITEM-001,2.0000,355.26,710.52,STANDARD_RATED,0.0900,63.95,774.47,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000022,SUP-002,INV-202607-000022,INVOICE,2026-07-04,2026-07-05,2026-07-01,2026-08-01,SGD,3154.36,283.89,3438.25,2,"Synthetic service, invoice 000022 line 02",ITEM-002,3.0000,22.23,66.69,STANDARD_RATED,0.0900,6.00,72.69,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000022,SUP-002,INV-202607-000022,INVOICE,2026-07-04,2026-07-05,2026-07-01,2026-08-01,SGD,3154.36,283.89,3438.25,3,"Synthetic service, invoice 000022 line 03",ITEM-003,5.0000,475.43,2377.15,STANDARD_RATED,0.0900,213.94,2591.09,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000023,SUP-003,INV-202607-000023,INVOICE,2026-07-09,2026-07-10,2026-07-01,2026-08-01,SGD,1236.53,111.30,1347.83,1,"Synthetic service, invoice 000023 line 01",ITEM-001,1.0000,358.50,358.50,STANDARD_RATED,0.0900,32.27,390.77,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000023,SUP-003,INV-202607-000023,INVOICE,2026-07-09,2026-07-10,2026-07-01,2026-08-01,SGD,1236.53,111.30,1347.83,2,"Synthetic service, invoice 000023 line 02",ITEM-002,1.0000,440.53,440.53,STANDARD_RATED,0.0900,39.65,480.18,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000023,SUP-003,INV-202607-000023,INVOICE,2026-07-09,2026-07-10,2026-07-01,2026-08-01,SGD,1236.53,111.30,1347.83,3,"Synthetic service, invoice 000023 line 03",ITEM-003,1.0000,437.50,437.50,STANDARD_RATED,0.0900,39.38,476.88,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000024,SUP-004,INV-202607-000024,INVOICE,2026-07-02,2026-07-02,2026-07-01,2026-08-01,SGD,1139.83,102.59,1242.42,1,"Synthetic service, invoice 000024 line 01",ITEM-001,3.0000,285.25,855.75,STANDARD_RATED,0.0900,77.02,932.77,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000024,SUP-004,INV-202607-000024,INVOICE,2026-07-02,2026-07-02,2026-07-01,2026-08-01,SGD,1139.83,102.59,1242.42,2,"Synthetic service, invoice 000024 line 02",ITEM-002,4.0000,71.02,284.08,STANDARD_RATED,0.0900,25.57,309.65,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000025,SUP-005,INV-202607-000025,INVOICE,2026-07-22,2026-07-22,2026-07-01,2026-08-01,SGD,1130.70,101.76,1232.46,1,"Synthetic service, invoice 000025 line 01",ITEM-001,2.0000,267.83,535.66,STANDARD_RATED,0.0900,48.21,583.87,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000025,SUP-005,INV-202607-000025,INVOICE,2026-07-22,2026-07-22,2026-07-01,2026-08-01,SGD,1130.70,101.76,1232.46,2,"Synthetic service, invoice 000025 line 02",ITEM-002,2.0000,297.52,595.04,STANDARD_RATED,0.0900,53.55,648.59,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000026,SUP-006,INV-202607-000026,INVOICE,2026-07-08,2026-07-09,2026-07-01,2026-08-01,SGD,2385.71,214.71,2600.42,1,"Synthetic service, invoice 000026 line 01",ITEM-001,2.0000,12.21,24.42,STANDARD_RATED,0.0900,2.20,26.62,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000026,SUP-006,INV-202607-000026,INVOICE,2026-07-08,2026-07-09,2026-07-01,2026-08-01,SGD,2385.71,214.71,2600.42,2,"Synthetic service, invoice 000026 line 02",ITEM-002,3.0000,480.98,1442.94,STANDARD_RATED,0.0900,129.86,1572.80,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000026,SUP-006,INV-202607-000026,INVOICE,2026-07-08,2026-07-09,2026-07-01,2026-08-01,SGD,2385.71,214.71,2600.42,3,"Synthetic service, invoice 000026 line 03",ITEM-003,5.0000,183.67,918.35,STANDARD_RATED,0.0900,82.65,1001.00,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000027,SUP-007,INV-202607-000027,INVOICE,2026-07-10,2026-07-11,2026-07-01,2026-08-01,SGD,2044.81,184.03,2228.84,1,"Synthetic service, invoice 000027 line 01",ITEM-001,5.0000,215.94,1079.70,STANDARD_RATED,0.0900,97.17,1176.87,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000027,SUP-007,INV-202607-000027,INVOICE,2026-07-10,2026-07-11,2026-07-01,2026-08-01,SGD,2044.81,184.03,2228.84,2,"Synthetic service, invoice 000027 line 02",ITEM-002,1.0000,129.07,129.07,STANDARD_RATED,0.0900,11.62,140.69,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000027,SUP-007,INV-202607-000027,INVOICE,2026-07-10,2026-07-11,2026-07-01,2026-08-01,SGD,2044.81,184.03,2228.84,3,"Synthetic service, invoice 000027 line 03",ITEM-003,3.0000,278.68,836.04,STANDARD_RATED,0.0900,75.24,911.28,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000028,SUP-008,INV-202607-000028,INVOICE,2026-07-13,2026-07-15,2026-07-01,2026-08-01,SGD,1160.68,104.47,1265.15,1,"Synthetic service, invoice 000028 line 01",ITEM-001,5.0000,142.88,714.40,STANDARD_RATED,0.0900,64.30,778.70,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000028,SUP-008,INV-202607-000028,INVOICE,2026-07-13,2026-07-15,2026-07-01,2026-08-01,SGD,1160.68,104.47,1265.15,2,"Synthetic service, invoice 000028 line 02",ITEM-002,4.0000,111.57,446.28,STANDARD_RATED,0.0900,40.17,486.45,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000029,SUP-009,INV-202607-000029,INVOICE,2026-07-08,2026-07-10,2026-07-01,2026-08-01,SGD,1976.51,177.88,2154.39,1,"Synthetic service, invoice 000029 line 01",ITEM-001,1.0000,296.59,296.59,STANDARD_RATED,0.0900,26.69,323.28,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000029,SUP-009,INV-202607-000029,INVOICE,2026-07-08,2026-07-10,2026-07-01,2026-08-01,SGD,1976.51,177.88,2154.39,2,"Synthetic service, invoice 000029 line 02",ITEM-002,5.0000,324.52,1622.60,STANDARD_RATED,0.0900,146.03,1768.63,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000029,SUP-009,INV-202607-000029,INVOICE,2026-07-08,2026-07-10,2026-07-01,2026-08-01,SGD,1976.51,177.88,2154.39,3,"Synthetic service, invoice 000029 line 03",ITEM-003,4.0000,14.33,57.32,STANDARD_RATED,0.0900,5.16,62.48,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000030,SUP-010,INV-202607-000030,INVOICE,2026-07-07,2026-07-07,2026-07-01,2026-08-01,SGD,146.88,13.22,160.10,1,"Synthetic service, invoice 000030 line 01",ITEM-001,4.0000,36.72,146.88,STANDARD_RATED,0.0900,13.22,160.10,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000031,SUP-001,INV-202607-000031,INVOICE,2026-07-25,2026-07-26,2026-07-01,2026-08-01,SGD,2264.95,203.85,2468.80,1,"Synthetic service, invoice 000031 line 01",ITEM-001,3.0000,266.47,799.41,STANDARD_RATED,0.0900,71.95,871.36,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000031,SUP-001,INV-202607-000031,INVOICE,2026-07-25,2026-07-26,2026-07-01,2026-08-01,SGD,2264.95,203.85,2468.80,2,"Synthetic service, invoice 000031 line 02",ITEM-002,5.0000,203.54,1017.70,STANDARD_RATED,0.0900,91.59,1109.29,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000031,SUP-001,INV-202607-000031,INVOICE,2026-07-25,2026-07-26,2026-07-01,2026-08-01,SGD,2264.95,203.85,2468.80,3,"Synthetic service, invoice 000031 line 03",ITEM-003,4.0000,111.96,447.84,STANDARD_RATED,0.0900,40.31,488.15,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000032,SUP-002,INV-202607-000032,INVOICE,2026-07-26,2026-07-28,2026-07-01,2026-08-01,SGD,879.86,79.19,959.05,1,"Synthetic service, invoice 000032 line 01",ITEM-001,2.0000,245.25,490.50,STANDARD_RATED,0.0900,44.15,534.65,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000032,SUP-002,INV-202607-000032,INVOICE,2026-07-26,2026-07-28,2026-07-01,2026-08-01,SGD,879.86,79.19,959.05,2,"Synthetic service, invoice 000032 line 02",ITEM-002,1.0000,389.36,389.36,STANDARD_RATED,0.0900,35.04,424.40,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000033,SUP-003,INV-202607-000033,INVOICE,2026-07-14,2026-07-15,2026-07-01,2026-08-01,SGD,1188.00,106.92,1294.92,1,"Synthetic service, invoice 000033 line 01",ITEM-001,2.0000,279.83,559.66,STANDARD_RATED,0.0900,50.37,610.03,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000033,SUP-003,INV-202607-000033,INVOICE,2026-07-14,2026-07-15,2026-07-01,2026-08-01,SGD,1188.00,106.92,1294.92,2,"Synthetic service, invoice 000033 line 02",ITEM-002,2.0000,314.17,628.34,STANDARD_RATED,0.0900,56.55,684.89,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000034,SUP-004,INV-202607-000034,INVOICE,2026-07-05,2026-07-07,2026-07-01,2026-08-01,SGD,1748.10,157.32,1905.42,1,"Synthetic service, invoice 000034 line 01",ITEM-001,3.0000,365.35,1096.05,STANDARD_RATED,0.0900,98.64,1194.69,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000034,SUP-004,INV-202607-000034,INVOICE,2026-07-05,2026-07-07,2026-07-01,2026-08-01,SGD,1748.10,157.32,1905.42,2,"Synthetic service, invoice 000034 line 02",ITEM-002,1.0000,82.59,82.59,STANDARD_RATED,0.0900,7.43,90.02,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000034,SUP-004,INV-202607-000034,INVOICE,2026-07-05,2026-07-07,2026-07-01,2026-08-01,SGD,1748.10,157.32,1905.42,3,"Synthetic service, invoice 000034 line 03",ITEM-003,3.0000,189.82,569.46,STANDARD_RATED,0.0900,51.25,620.71,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000035,SUP-005,INV-202607-000035,INVOICE,2026-07-13,2026-07-15,2026-07-01,2026-08-01,SGD,3434.84,309.13,3743.97,1,"Synthetic service, invoice 000035 line 01",ITEM-001,4.0000,275.87,1103.48,STANDARD_RATED,0.0900,99.31,1202.79,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000035,SUP-005,INV-202607-000035,INVOICE,2026-07-13,2026-07-15,2026-07-01,2026-08-01,SGD,3434.84,309.13,3743.97,2,"Synthetic service, invoice 000035 line 02",ITEM-002,2.0000,184.36,368.72,STANDARD_RATED,0.0900,33.18,401.90,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000035,SUP-005,INV-202607-000035,INVOICE,2026-07-13,2026-07-15,2026-07-01,2026-08-01,SGD,3434.84,309.13,3743.97,3,"Synthetic service, invoice 000035 line 03",ITEM-003,4.0000,490.66,1962.64,STANDARD_RATED,0.0900,176.64,2139.28,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000036,SUP-006,INV-202607-000036,INVOICE,2026-07-21,2026-07-21,2026-07-01,2026-08-01,SGD,1228.86,110.59,1339.45,1,"Synthetic service, invoice 000036 line 01",ITEM-001,2.0000,436.36,872.72,STANDARD_RATED,0.0900,78.54,951.26,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000036,SUP-006,INV-202607-000036,INVOICE,2026-07-21,2026-07-21,2026-07-01,2026-08-01,SGD,1228.86,110.59,1339.45,2,"Synthetic service, invoice 000036 line 02",ITEM-002,2.0000,178.07,356.14,STANDARD_RATED,0.0900,32.05,388.19,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000037,SUP-007,INV-202607-000037,INVOICE,2026-07-03,2026-07-05,2026-07-01,2026-08-01,SGD,685.42,61.69,747.11,1,"Synthetic service, invoice 000037 line 01",ITEM-001,2.0000,342.71,685.42,STANDARD_RATED,0.0900,61.69,747.11,SGD
1.0,smoke-v1-seed-20260731,ERP_ONE,invoice-000038,SUP-008,INV-202607-000038,INVOICE,2026-07-18,2026-07-19,2026-07-01,2026-08-01,SGD,2605.06,234.45,2839.51,1,"Synthetic service, invoice 000038 line 01",ITEM-001,2.0000,85.73,171.46,STANDARD_RATED,0.0900,15.43,186.89,SGD
